1,"עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .","עשרות אנשים מגיעים מ תאילנד ל ישראל כש הם נרשמים כ מתנדבים , אך למעשה משמשים עובדים שכירים זולים .",1
5323,שר ה חוץ קואן קיצן יוצא היום ל בגדאד .,שר ה חוץ קואן קיצן יוצא היום ל בגדאד .,5304
5324,זהו ה ביקור ה ראשון של שר של מדינה ה חברה ב אופן קבוע ב מועצת ה ביטחון .,זהו ה ביקור ה ראשון של שר של מדינה ה חברה ב אופן קבוע ב מועצת ה ביטחון .,5305
5325,"קיצן אמר כי כל החלטת או""ם ל פעולה צבאית תהיה כרוכה ב התייעצויות מפורטות .","קיצן אמר כי כל החלטת או""ם ל פעולה צבאית תהיה כרוכה ב התייעצויות מפורטות .",5306
5326,ב תום שיחותיו עם עמיתו ה ירדני אמר קיצן כי ל ירדן ו ל סין עמדה משותפת ב יחס ל ה_ משבר .,ב תום שיחותיו עם עמיתו ה ירדני אמר קיצן כי ל ירדן ו ל סין עמדה משותפת ב יחס ל ה משבר .,5307
5327,"ב מסיבת עיתונאים ב גרמניה אמר נשיא בריה""ם , מיכאיל גורבצוב , כי טועים מי ש סבורים ש אפשר יהיה לתקוע טריז ב ה_ חזית ה בין - לאומית נגד עיראק .","ב מסיבת עיתונאים ב גרמניה אמר נשיא בריה""ם , מיכאיל גורבצוב , כי טועים מי ש סבורים ש אפשר יהיה לתקוע טריז ב ה חזית ה בין - לאומית נגד עיראק .",5308
5328,הוא אמר ש יש למצות את כל ה אפשרויות ה פוליטיות ו ה דיפלומטיות כדי לפתור את ה משבר ב ה_ מפרץ ב דרכי שלום .,הוא אמר ש יש למצות את כל ה אפשרויות ה פוליטיות ו ה דיפלומטיות כדי לפתור את ה משבר ב ה מפרץ ב דרכי שלום .,5309
5329,"יומיים אחרי שובו של ה מנהיג ה סוציאל - דמוקרטי , וילי בראנדט , מ שליחות ב עיראק , היו אמש חילוקי דעות על הצלחת ה מסע .","יומיים אחרי שובו של ה מנהיג ה סוציאל - דמוקרטי , וילי בראנדט , מ שליחות ב עיראק , היו אמש חילוקי דעות על הצלחת ה מסע .",5310
5330,"בראנדט הביא עמו ל פראנקפורט 180 בני - ערובה מ עיראק , בהם כ 120 גרמנים .","בראנדט הביא עם הוא ל פראנקפורט 180 בני - ערובה מ עיראק , ב הם כ 120 גרמנים .",5311
5331,"ה ממשלה ה שמרנית ב בון הודתה ל בראנדט על ה שליחות , למרות ש ב ה_ שלבים ה ראשונים הסתייגה ממנה .","ה ממשלה ה שמרנית ב בון הודתה ל בראנדט על ה שליחות , למרות ש ב ה שלבים ה ראשונים הסתייגה ממן היא .",5312
5332,"ה שינוי ב עמדת ה קאנצלר קוהל כלפי ה שליחות נבע מ מסע ה בחירות ה מתנהל ב גרמניה , ולחצן של משפחות בני - ה ערובה לפעול ל טובת יקיריהן ה שוהים ב עיראק .","ה שינוי ב עמדת ה קאנצלר קוהל כלפי ה שליחות נבע מ מסע ה בחירות ה מתנהל ב גרמניה , ו לחצן של משפחות בני - ה ערובה לפעול ל טובת יקיריהן ה שוהים ב עיראק .",5313
5333,"ה שגריר ה עיראקי ב וואשינגטון , מוחמד צאדק אל - משאט , אמר ב יום חמישי כי התקפה אמריקאית נגד כוחות עיראק תרחיק את כל ה ערבים .","ה שגריר ה עיראקי ב וואשינגטון , מוחמד צאדק אל - משאט , אמר ב יום חמישי כי התקפה אמריקאית נגד כוחות עיראק תרחיק את כל ה ערבים .",5314
5334,ה שגריר אמר את דבריו כמה שעות לאחר הודעת ה נשיא בוש על שיגור תגבורת ל ה_ מפרץ .,ה שגריר אמר את דבריו כמה שעות לאחר הודעת ה נשיא בוש על שיגור תגבורת ל ה מפרץ .,5315
5335,"ב התייחסו ל התקפה אמריקאית אפשרית אמר משאט : "" אתם מטרידים את ה בחורים שלכם על לא דבר ו ה התקפה תביא את ה עוינות של כל ה ערבים ו כל ה מוסלמים , מפני ש אתם הולכים לבצע פעולת תוקפנות נגד עיראק מ מדינה מוסלמית אחרת , מ ארץ קדושה "" .","ב התייחסו ל התקפה אמריקאית אפשרית אמר משאט : "" אתם מטרידים את ה בחורים של אתמ על לא דבר ו ה התקפה תביא את ה עוינות של כל ה ערבים ו כל ה מוסלמים , מפני ש אתם הולכים לבצע פעולת תוקפנות נגד עיראק מ מדינה מוסלמית אחרת , מ ארץ קדושה "" .",5316
5336,ב מערכת ה ביטחון הוחל ב יישום ה הגבלות על תושבי ה שטחים .,ב מערכת ה ביטחון הוחל ב יישום ה הגבלות על תושבי ה שטחים .,5317
5337,"מערכת ה ביטחון העבירה ל ה_ משטרה רשימה של כ 2,004 שמות של פלשתינאים ב ה_ גדה , ש לא יורשו להיכנס ל ישראל כבר ב ה_ ימים ה קרובים .","מערכת ה ביטחון העבירה ל ה משטרה רשימה של כ 2,004 שמות של פלשתינאים ב ה גדה , ש לא יורשו להיכנס ל ישראל כבר ב ה ימים ה קרובים .",5318
5338,הם יקבלו תעודות זהות ירוקות .,הם יקבלו תעודות זהות ירוקות .,5319
5339,מקורות ב מערכת ה ביטחון אמרו כי ה כוונה היא למנוע כניסתם של בעלי עבר פלילי ל ישראל .,מקורות ב מערכת ה ביטחון אמרו כי ה כוונה היא למנוע כניסתם של בעלי עבר פלילי ל ישראל .,5320
5340,גם ב עזה הוחל ב יישום ה הגבלות ; חולקו כרטיסים מגנטיים נוספים ו נאסרה כניסתם ל ישראל של תושבים רבים .,גם ב עזה הוחל ב יישום ה הגבלות ; חולקו כרטיסים מגנטיים נוספים ו נאסרה כניסתם ל ישראל של תושבים רבים .,5321
5341,"מקורות פלשתיניים דיווחו על שני מקרי רצח ו על חמישה ניסיונות ל רצח על רקע ל שיתוף פעולה , ש אירעו ב סוף ה שבוע ב עזה .","מקורות פלשתיניים דיווחו על שני מקרי רצח ו על חמישה ניסיונות ל רצח על רקע ל שיתוף פעולה , ש אירעו ב סוף ה שבוע ב עזה .",5322
5342,"מקורות צבאיים מסרו כי באחרונה חלה עלייה ב מספר מקרי ה רצח בשל חשד ל שיתוף פעולה , בעיקר באמצעות נשק חם .","מקורות צבאיים מסרו כי באחרונה חלה עלייה ב מספר מקרי ה רצח בשל חשד ל שיתוף פעולה , בעיקר באמצעות נשק חם .",5323
5343,"ב בית ה חולים שיפא נפטרה אשה בת 55 , מדלילה אל - עמסי , מ מחנה ה פליטים נוסייראת , ש נדקרה לפני שבועיים על - ידי רעולי פנים , לאחר ש נחשדה ב שיתוף פעולה .","ב בית ה חולים שיפא נפטרה אשה בת 55 , מדלילה אל - עמסי , מ מחנה ה פליטים נוסייראת , ש נדקרה לפני שבועיים על - ידי רעולי פנים , לאחר ש נחשדה ב שיתוף פעולה .",5324
5344,"אתמול חנקו רעולי - פנים ל ה_ מוות את ריאד מחמוד , בן 25 , מ מחנה ה פליטים שאטי ; ב רפיח נורה ל ה_ מוות מרוואן עבדאללה ריבעווי , בן 28 .","אתמול חנקו רעולי - פנים ל ה מוות את ריאד מחמוד , בן 25 , מ מחנה ה פליטים שאטי ; ב רפיח נורה ל ה מוות מרוואן עבדאללה ריבעווי , בן 28 .",5325
5345,"רעולי פנים ב רפיח ירו ב אייד על - עדי , בן 52 , ליד משרדי ה מנהל ה אזרחי .","רעולי פנים ב רפיח ירו ב אייד על - עדי , בן 52 , ליד משרדי ה מנהל ה אזרחי .",5326
5346,הוא נפצע קשה .,הוא נפצע קשה .,5327
5347,"ב יום ששי נדקר ב חאן יונס חארבי שקרה , בן 36 ; הוא נפצע קשה ו נלקח ל בית ה חולים .","ב יום ששי נדקר ב חאן יונס חארבי שקרה , בן 36 ; הוא נפצע קשה ו נלקח ל בית ה חולים .",5328
5348,ב גיבאליה היו שני ניסיונות ל רצח על רקע חשד ל שיתוף פעולה .,ב גיבאליה היו שני ניסיונות ל רצח על רקע חשד ל שיתוף פעולה .,5329
5349,"דובר משטרת נפת עזה , סגן - ניצב יגאל גולן , מסר כי ה משטרה חוקרת את כל ה מקרים הללו .","דובר משטרת נפת עזה , סגן - ניצב יגאל גולן , מסר כי ה משטרה חוקרת את כל ה מקרים הללו .",5330
5350,"בחלקם , אמר , מדובר ב רצח על רקע פלילי .","ב חלקם , אמר , מדובר ב רצח על רקע פלילי .",5331
5351,"ו אילו מקורות פלשתיניים גורסים כי כל ה מקרים הם על רקע שיתוף פעולה , למרות ש ל חלק מ ה מעורבים עבר פלילי .","ו אילו מקורות פלשתיניים גורסים כי כל ה מקרים הם על רקע שיתוף פעולה , למרות ש ל חלק מ ה מעורבים עבר פלילי .",5332
5352,קפידבין ב ה_ רצועה היתה ב יום ששי שביתה כללית .,קפידבין ב ה רצועה היתה ב יום ששי שביתה כללית .,5333
5353,מקורות פלשתיניים מסרו על חמישה תושבים ש נפצעו ב עימותים עם ה צבא .,מקורות פלשתיניים מסרו על חמישה תושבים ש נפצעו ב עימותים עם ה צבא .,5334
5354,"דובר צה""ל מסר כי לא נרשמו פצועים .","דובר צה""ל מסר כי לא נרשמו פצועים .",5335
5355,היום יימשך ה עוצר ב רוב מחנות ה פליטים ב ה_ רצועה .,היום יימשך ה עוצר ב רוב מחנות ה פליטים ב ה רצועה .,5336
5356,"מקורות צבאיים מסרו כי אם יהיה שקט , יוסר ה עוצר לסירוגין .","מקורות צבאיים מסרו כי אם יהיה שקט , יוסר ה עוצר לסירוגין .",5337
5357,קפידבין ב סוף ה שבוע דווח על מספר מועט של אירועים ב ה_ גדה .,קפידבין ב סוף ה שבוע דווח על מספר מועט של אירועים ב ה גדה .,5338
5358,ב יום ששי התקיימה שביתה כללית ל ציון ה חודש ה 36 ל תחילת ה התקוממות .,ב יום ששי התקיימה שביתה כללית ל ציון ה חודש ה 36 ל תחילת ה התקוממות .,5339
5359,רוב שטחי ה גדה ה מערבית היו נתונים ב סגר צבאי .,רוב שטחי ה גדה ה מערבית היו נתונים ב סגר צבאי .,5340
5360,"מקורות פלשתיניים טענו כי ב תקרית ב סיום ה תפילה ב ה_ מסגדים נפצע איסלאם גיבריל , בן 16 , תושב מחנה ה פליטים עין בית אלמה , מ קליע ברגלו .","מקורות פלשתיניים טענו כי ב תקרית ב סיום ה תפילה ב ה מסגדים נפצע איסלאם גיבריל , בן 16 , תושב מחנה ה פליטים עין בית אלמה , מ קליע ב רגלו .",5341
5361,"ב ה_ קאסבה של שכם היתה אתמול תהלוכה של תומכי ה חזית ה עממית ל שחרור פלשתין ל ציון שנה ל תפישת חוליית "" ה נשר ה אדום "" ב שכם ולמותו של ראש ה חוליה , איימן רוזה .","ב ה קאסבה של שכם היתה אתמול תהלוכה של תומכי ה חזית ה עממית ל שחרור פלשתין ל ציון שנה ל תפישת חוליית "" ה נשר ה אדום "" ב שכם ו ל מותו של ראש ה חוליה , איימן רוזה .",5342
5362,"בעקבות ה תהלוכה התפתחו התנגשויות ב מרכז ה עיר , ו חיילי צה""ל ירו רימוני גז מ תצפיות צבאיות ש על ה גגות כדי לפזר מיידי אבנים .","בעקבות ה תהלוכה התפתחו התנגשויות ב מרכז ה עיר , ו חיילי צה""ל ירו רימוני גז מ תצפיות צבאיות ש על ה גגות כדי לפזר מיידי אבנים .",5343
5363,נמסר על רימון גז ש ניפץ שמשתה של מכונית .,נמסר על רימון גז ש ניפץ שמשתה של מכונית .,5344
5364,"ב סוף ה שבוע הטיל צה""ל עוצר על ה כפר א - זאוויה ב נפת גנין , לאחר ש רעולי פנים ניסו לדקור את מוכתר ה כפר , ארון ברקין , בן 58 , ש נחשד ב שיתוף פעולה עם ישראל .","ב סוף ה שבוע הטיל צה""ל עוצר על ה כפר א - זאוויה ב נפת גנין , לאחר ש רעולי פנים ניסו לדקור את מוכתר ה כפר , ארון ברקין , בן 58 , ש נחשד ב שיתוף פעולה עם ישראל .",5345
5365,ה מוכתר לא נפגע .,ה מוכתר לא נפגע .,5346
5366,"או 18 % , או להעלות את מסי ה קנייה , כדי לצמצם את ה גירעון ה צפוי ב תקציב ה מדינה ל שנת 1991 , ש יוגש ל ה_ ממשלה בעוד שבועיים .","או 18 % , או להעלות את מסי ה קנייה , כדי לצמצם את ה גירעון ה צפוי ב תקציב ה מדינה ל שנת 1991 , ש יוגש ל ה ממשלה בעוד שבועיים .",5347
5367,"ב חוגים כלכליים ב ירושלים גוברת ה תמיכה ב העלאת נטל ה מסים על ה ציבור , בעיקר מסי ה קנייה , ל צורך מימון הוצאות ה קליטה .","ב חוגים כלכליים ב ירושלים גוברת ה תמיכה ב העלאת נטל ה מסים על ה ציבור , בעיקר מסי ה קנייה , ל צורך מימון הוצאות ה קליטה .",5348
5368,"באחרונה התחזקה ה הערכה ש לא יהיה אפשר לגייס ב חו""ל חלק נכבד מ ה סכום ה דרוש ל מימון ה קליטה , כפי ש הניחה ה תוכנית ה כלכלית של משרד ה אוצר .","באחרונה התחזקה ה הערכה ש לא יהיה אפשר לגייס ב חו""ל חלק נכבד מ ה סכום ה דרוש ל מימון ה קליטה , כפי ש הניחה ה תוכנית ה כלכלית של משרד ה אוצר .",5349
5369,"ב כמה ראיונות ב ה_ רדיו ב סוף ה שבוע הצטרף גם עמוס רובין , יועצו ה כלכלי של ראש ה ממשלה , ל ה_ תומכים ב העלאת שיעור ה מע""ם .","ב כמה ראיונות ב ה רדיו ב סוף ה שבוע הצטרף גם עמוס רובין , יועצו ה כלכלי של ראש ה ממשלה , ל ה תומכים ב העלאת שיעור ה מע""ם .",5350
5370,"ב יום חמישי אמר גם נגיד בנק ישראל מיכאל ברונו ש לא יהיה מנוס מ הכבדת נטל ה מסים על ה ציבור , כדי לממן את הוצאות ה קליטה .","ב יום חמישי אמר גם נגיד בנק ישראל מיכאל ברונו ש לא יהיה מנוס מ הכבדת נטל ה מסים על ה ציבור , כדי לממן את הוצאות ה קליטה .",5351
5371,"יש לציין ש לפני כ חודשיים , כאשר התנהלו ה דיונים על ה תוכנית ה כלכלית בין נציגי ה אוצר ו בנק ישראל , התגלעו חילוקי דעות חריפים בין שני ה צדדים לגבי גודל ה גירעון ה מותר .","יש לציין ש לפני כ חודשיים , כאשר התנהלו ה דיונים על ה תוכנית ה כלכלית בין נציגי ה אוצר ו בנק ישראל , התגלעו חילוקי דעות חריפים בין שני ה צדדים לגבי גודל ה גירעון ה מותר .",5352
5372,"ב בנק ישראל אמרו ש אפשר לקיים גירעון הרבה יותר גדול ב תקופה זו של עלייה מאסיווית , כאשר אין תעסוקה מלאה ב ה_ משק , ו אילו ב ה_ אוצר התנגדו ל הגדלת ה גירעון מעבר ל קו מסוים .","ב בנק ישראל אמרו ש אפשר לקיים גירעון הרבה יותר גדול ב תקופה זו של עלייה מאסיווית , כאשר אין תעסוקה מלאה ב ה משק , ו אילו ב ה אוצר התנגדו ל הגדלת ה גירעון מעבר ל קו מסוים .",5353
5373,"ב ה_ אוצר התחילו לדון ב רמה עקרונית על הגדלת מסי ה קנייה לפני שבועות אחדים , אבל שום הצעה פורמאלית עדיין לא גובשה .","ב ה אוצר התחילו לדון ב רמה עקרונית על הגדלת מסי ה קנייה לפני שבועות אחדים , אבל שום הצעה פורמאלית עדיין לא גובשה .",5354
5374,"בכירים ב ה_ אוצר מדגישים ש אין שום כוונה ב שלב זה להעלות את שיעורי מס ה הכנסה , ו מציינים ש צעד זה עלול לפגוע ב המשך ה צמיחה .","בכירים ב ה אוצר מדגישים ש אין שום כוונה ב שלב זה להעלות את שיעורי מס ה הכנסה , ו מציינים ש צעד זה עלול לפגוע ב המשך ה צמיחה .",5355
5375,קפידבין לראשונה ב ישראל יותנו כמה סעיפים ב ה_ תקציב ל שנת 1991 ב רמת הכנסה מסוימת .,קפידבין לראשונה ב ישראל יותנו כמה סעיפים ב ה תקציב ל שנת 1991 ב רמת הכנסה מסוימת .,5356
5376,"כלומר , אם ה ממשלה לא תצליח לגייס את סכום ה הכנסות ש תוכנן ב ה_ תקציב , היא תצטרך לקצץ ב סכום ה הוצאות ב אופן פרופורציונאלי .","כלומר , אם ה ממשלה לא תצליח לגייס את סכום ה הכנסות ש תוכנן ב ה תקציב , היא תצטרך לקצץ ב סכום ה הוצאות ב אופן פרופורציונאלי .",5357
5377,זאת בשל ה אי - ודאות לגבי יכולתה של ה ממשלה לגייס את ה הכנסות ה דרושות .,זאת בשל ה אי - ודאות לגבי יכולתה של ה ממשלה לגייס את ה הכנסות ה דרושות .,5358
5378,"כמו כן קיימת אי - בהירות לגבי סכום ה הוצאות ה דרושות , מכיוון ש אין יודעים בדיוק כמה עולים יגיעו ב ה_ שנה ה באה , ו ה הערכות נעות בין 150 אלף ל 400 אלף .","כמו כן קיימת אי - בהירות לגבי סכום ה הוצאות ה דרושות , מכיוון ש אין יודעים בדיוק כמה עולים יגיעו ב ה שנה ה באה , ו ה הערכות נעות בין 150 אלף ל 400 אלף .",5359
5379,תקציב 1991 יגיע ל כ 70 מיליארד שקל .,תקציב 1991 יגיע ל כ 70 מיליארד שקל .,5360
5380,"סעיף תקציב ה ביטחון עדיין לא סוכם , כי משרד ה ביטחון מתנגד ל הצעת ה אוצר ש הוא יקצץ 200 מיליון שקל מתקציבו ב ה_ שנה ה באה , באמצעות הורדת תנאי שירות ה קבע ו קיצוץ משמעותי ב מספר ימי ה מילואים מדי שנה .","סעיף תקציב ה ביטחון עדיין לא סוכם , כי משרד ה ביטחון מתנגד ל הצעת ה אוצר ש הוא יקצץ 200 מיליון שקל מ תקציבו ב ה שנה ה באה , באמצעות הורדת תנאי שירות ה קבע ו קיצוץ משמעותי ב מספר ימי ה מילואים מדי שנה .",5361
5381,גם ב ה_ לובי ה חברתי ב ה_ כנסת הובעה באחרונה התנגדות חריפה ל הצעת ה אוצר לקצץ ב קצבאות ה ביטוח ה לאומי ו לדרוש מ כל מקבלי ה קצבאות לעבור מבחן הכנסות .,גם ב ה לובי ה חברתי ב ה כנסת הובעה באחרונה התנגדות חריפה ל הצעת ה אוצר לקצץ ב קצבאות ה ביטוח ה לאומי ו לדרוש מ כל מקבלי ה קצבאות לעבור מבחן הכנסות .,5362
5382,ה דולר נחלש ב יחס ל מרבית ה מטבעות ה עיקריים ב יום ו .,ה דולר נחלש ב יחס ל מרבית ה מטבעות ה עיקריים ב יום ו .,5363
5383,"ב דרך כלל ירד שער ה דולר ב שיעור מתון ב ה_ מסחר עם ה מטבעות ה אירופיים ו נחלש ב שיעור חד רק ב ה_ מסחר עם ה ין ה יפאני , ששערו נפל מאוד ב ימי ה מסחר ה אחרונים .","ב דרך כלל ירד שער ה דולר ב שיעור מתון ב ה מסחר עם ה מטבעות ה אירופיים ו נחלש ב שיעור חד רק ב ה מסחר עם ה ין ה יפאני , ש שערו נפל מאוד ב ימי ה מסחר ה אחרונים .",5364
5384,"ה דולר החל להחלש בעקבות ידיעות על כוונת ה פדרל רזרב להפחית את שערי ה ריבית ב ארה""ב .","ה דולר החל להחלש בעקבות ידיעות על כוונת ה פדרל רזרב להפחית את שערי ה ריבית ב ארה""ב .",5365
5385,כלכלנים ציינו כי ה כלכלה ה אמריקאית ניצבת בפני תקופה של האטה משמעותית ו ה נתונים ה אחרונים מצביעים על כך ש מגמה זו תלך ו תחריף ב ה_ חודשים ה קרובים .,כלכלנים ציינו כי ה כלכלה ה אמריקאית ניצבת בפני תקופה של האטה משמעותית ו ה נתונים ה אחרונים מצביעים על כך ש מגמה זו תלך ו תחריף ב ה חודשים ה קרובים .,5366
5386,"ה ידיעות על כוונת ה פדרל רזרב לקצץ ב שערי ה ריבית ב ארה""ב זכו ל משנה תוקף אחרי פרסום נתוני מדד ה מחירים ה סיטונאיים ל חודש אוקטובר .","ה ידיעות על כוונת ה פדרל רזרב לקצץ ב שערי ה ריבית ב ארה""ב זכו ל משנה תוקף אחרי פרסום נתוני מדד ה מחירים ה סיטונאיים ל חודש אוקטובר .",5367
5387,"על פי מדד זה , ש פורסם ב יום ו , עלתה רמת ה מחירים ה סיטונאית ב 1.1 % הרבה מעל ל נתון של 7.0 % ש נחזה על ידי ה שוק .","על פי מדד זה , ש פורסם ב יום ו , עלתה רמת ה מחירים ה סיטונאית ב 1.1 % הרבה מעל ל נתון של 8 % ש נחזה על ידי ה שוק .",5368
5388,"יחד עם זאת , ה כלכלנים ציינו כי ב ניכוי ה עלייה ב מחירי ה אנרגיה ו ה מזון , עלה מדד זה ב שיעור זהה ל ה_ עלייה ב חודש ספטמבר ו העריכו כי יש ב כך כדי להצביע על ה קיצוץ ה צפוי ב ה_ ריבית ב ארה""ב .","יחד עם זאת , ה כלכלנים ציינו כי ב ניכוי ה עלייה ב מחירי ה אנרגיה ו ה מזון , עלה מדד זה ב שיעור זהה ל ה עלייה ב חודש ספטמבר ו העריכו כי יש ב כך כדי להצביע על ה קיצוץ ה צפוי ב ה ריבית ב ארה""ב .",5369
5389,קפידבין ה מארק הוסיף ו התחזק ב יום ו ב ה_ מסחר עם ה לירטה ו ה פרנק ה צרפתי ב מסגרת ה מסחר ב אירופה .,קפידבין ה מארק הוסיף ו התחזק ב יום ו ב ה מסחר עם ה לירטה ו ה פרנק ה צרפתי ב מסגרת ה מסחר ב אירופה .,5370
5390,ה סוחרים ציינו כי חוסר ה נכונות של ראשי 7 ה מדינות ה מתועשות ה מובילות להיפגש על מנת לדון ב מעמד ה דולר ב שוק ה כספים מצביע על מעמדו ה איתן של ה מארק ב ה_ שוק ה פיננסי .,ה סוחרים ציינו כי חוסר ה נכונות של ראשי 7 ה מדינות ה מתועשות ה מובילות להיפגש על מנת לדון ב מעמד ה דולר ב שוק ה כספים מצביע על מעמדו ה איתן של ה מארק ב ה שוק ה פיננסי .,5371
5391,ה מארק טיפס ו הגיע ל רמה של 257.5958 לירטות לעומת שער של 752 לירטות עם פתיחת ה מסחר .,ה מארק טיפס ו הגיע ל רמה של 257.5958 לירטות לעומת שער של 752 לירטות עם פתיחת ה מסחר .,5372
5392,"המשך ניסיונו של ה בנק ה מרכזי של איטליה לבלום את החלשות ה לירטה על ידי מכירת מארקים , לא הצליח .","המשך ניסיונו של ה בנק ה מרכזי של איטליה לבלום את החלשות ה לירטה על ידי מכירת מארקים , לא הצליח .",5373
5393,"שערי סגירה ניו יורק ראש ענף כלכלה ב ה_ מינהל ה אזרחי ב יהודה ו שומרון שלח ב ימים אלה מכתבים ל חברות ה גז , ובהם הודיע על חידוש ה יוזמה ל הקמת תחנות ל מילוי גז ב ה_ שטחים .","שערי סגירה ניו יורק ראש ענף כלכלה ב ה מינהל ה אזרחי ב יהודה ו שומרון שלח ב ימים אלה מכתבים ל חברות ה גז , ו ב הם הודיע על חידוש ה יוזמה ל הקמת תחנות ל מילוי גז ב ה שטחים .",5374
5394,"את ה היתרים ל הקמת ה תחנות ייתן מתאם ה פעולות ב ה_ שטחים , שמואל גורן .","את ה היתרים ל הקמת ה תחנות ייתן מתאם ה פעולות ב ה שטחים , שמואל גורן .",5375
5395,"גורן קובע כי כל חברת גז תהיה רשאית לבקש להקים שתי תחנות מילוי ב ה_ שטחים , ה אחת ב ה_ גדה ו ה שנייה ב רצועת עזה .","גורן קובע כי כל חברת גז תהיה רשאית לבקש להקים שתי תחנות מילוי ב ה שטחים , ה אחת ב ה גדה ו ה שנייה ב רצועת עזה .",5376
5396,חברות ה גז ה וותיקות לא היו שבעות רצון ל מקרא מכתבים אלה .,חברות ה גז ה וותיקות לא היו שבעות רצון ל מקרא מכתבים אלה .,5377
5397,"לטענתן , ה פיקוח על הובלת ה גז מ ה שטחים ל תחומי ה קו ה ירוק הוא ממילא לוקה ב חסר , ו הקמת תחנות ה מילוי ה חדשות רק תחריף את ה מצב .","ל טענתן , ה פיקוח על הובלת ה גז מ ה שטחים ל תחומי ה קו ה ירוק הוא ממילא לוקה ב חסר , ו הקמת תחנות ה מילוי ה חדשות רק תחריף את ה מצב .",5378
5398,חברות ה גז התריעו לא אחת בפני גורמי ה ביטחון על תופעה של הברחת גז מ ה שטחים ( ב מכלים ה צבועים ב כחול ) ל תחומי ה קו ה ירוק .,חברות ה גז התריעו לא אחת בפני גורמי ה ביטחון על תופעה של הברחת גז מ ה שטחים ( ב מכלים ה צבועים ב כחול ) ל תחומי ה קו ה ירוק .,5379
5399,ה חברות מתכוונות להעלות מחדש את בעיית ה בטיחות ה נוגעת ל מילוי ה מכלים ב ה_ שטחים בפני ה פורומים ה מתאימים ב משרד ה אנרגיה .,ה חברות מתכוונות להעלות מחדש את בעיית ה בטיחות ה נוגעת ל מילוי ה מכלים ב ה שטחים בפני ה פורומים ה מתאימים ב משרד ה אנרגיה .,5380
5400,"קופת חולים ה כללית הגיעה ל הסכם עם אחד מ מנתחי ה לב ה בכירים , מ מרכז רפואי ב מרכז ה ארץ , לעמוד ב ראש מחלקת ניתוחי לב ב בית חולים "" כרמל "" ב חיפה , במקומו של פרוף גדעון מרין .","קופת חולים ה כללית הגיעה ל הסכם עם אחד מ מנתחי ה לב ה בכירים , מ מרכז רפואי ב מרכז ה ארץ , לעמוד ב ראש מחלקת ניתוחי לב ב בית חולים "" כרמל "" ב חיפה , במקום הוא של פרוף גדעון מרין .",5381
5401,"מרין פוטר לפני שבוע בשל הפרת הסכם , כ טענת ה קופה .","מרין פוטר לפני שבוע בשל הפרת הסכם , כ טענת ה קופה .",5382
5402,"על כך הודיע שלשום סמנכ""ל ו ראש ה חטיבה ה רפואית של ה קופה , פרוף יאיר שפירא , ב תגובה להאשמותיו של ראש עיריית חיפה , אריה גוראל , כי פיטורי פרוף מרין הם פגיעה ב ה_ תושבים , ו כי עזיבתו את מחלקת ניתוחי לב ב "" כרמל "" תגרום ל התפוררותה .","על כך הודיע שלשום סמנכ""ל ו ראש ה חטיבה ה רפואית של ה קופה , פרוף יאיר שפירא , ב תגובה ל האשמותיו של ראש עיריית חיפה , אריה גוראל , כי פיטורי פרוף מרין הם פגיעה ב ה תושבים , ו כי עזיבתו את מחלקת ניתוחי לב ב "" כרמל "" תגרום ל התפוררותה .",5383
5403,"גוראל קרא ל יו""ר קופ""ח ליישב את חילוקי ה דעות ב דרך של משא ו מתן .","גוראל קרא ל יו""ר קופ""ח ליישב את חילוקי ה דעות ב דרך של משא ו מתן .",5384
5404,"ל פרוף מרין היה הסכם עם קופת חולים ה כללית ש הבטיח לו מדי חודש משכורת של 42 אלף שקל , ו ב תמורה נאסר עליו לנתח ב אופן פרטי .","ל פרוף מרין היה הסכם עם קופת חולים ה כללית ש הבטיח ל הוא מדי חודש משכורת של 42 אלף שקל , ו ב תמורה נאסר עלי הוא לנתח ב אופן פרטי .",5385
5405,"לפני זמן מה הודיע מרין שבכוונתו לנתח חולים ב אופן פרטי ב "" מרכז חורב "" , ו ביקש את אישור ה קופה .","לפני זמן מה הודיע מרין ש ב כוונתו לנתח חולים ב אופן פרטי ב "" מרכז חורב "" , ו ביקש את אישור ה קופה .",5386
5406,לאחר משא ו מתן עם ה הנהלה הוא קיבל הודעת פיטורין ה אמורים להיכנס ל תוקף ב 1.2.19 .,לאחר משא ו מתן עם ה הנהלה הוא קיבל הודעת פיטורין ה אמורים להיכנס ל תוקף ב 1.2.19 .,5387
5407,"הנהלת קופ""ח הודיעה ל פרוף מרין ש אינה מוכנה לערב רפואה פרטית ב ציבורית , ו כי ה דבר יפגע ב ה_ עבודה ה סדירה ב בית ה חולים .","הנהלת קופ""ח הודיעה ל פרוף מרין ש אינה מוכנה לערב רפואה פרטית ב ציבורית , ו כי ה דבר יפגע ב ה עבודה ה סדירה ב בית ה חולים .",5388
5408,"ל טענת ה הנהלה , לקח פרוף מרין עמו רופאים מרדימים מ בית ה חולים כרמל ל ניתוחים ב ה_ מרכז ה רפואי חורב .","ל טענת ה הנהלה , לקח פרוף מרין עם הוא רופאים מרדימים מ בית ה חולים כרמל ל ניתוחים ב ה מרכז ה רפואי חורב .",5389
